episode,reward,length
1,1.0,16
2,0.0,5
3,0.0,5
4,0.0,5
5,1.0,15
6,0.0,5
7,0.0,5
8,0.0,5
9,0.0,5
10,0.0,5
11,1.0,16
12,0.0,5
13,0.0,5
14,2.0,26
15,0.0,5
16,0.0,5
17,0.0,5
18,2.0,21
19,1.0,17
20,0.0,5
21,0.0,5
22,1.0,14
23,1.0,12
24,0.0,3
25,0.0,3
26,0.0,5
27,1.0,14
28,0.0,5
29,0.0,5
30,1.0,15
31,0.0,5
32,0.0,3
33,0.0,3
34,0.0,5
35,2.0,21
36,0.0,5
37,0.0,5
38,1.0,14
39,0.0,5
40,0.0,5
41,0.0,5
42,0.0,5
43,0.0,5
44,0.0,5
45,1.0,14
46,0.0,5
47,1.0,14
48,0.0,5
49,0.0,3
50,0.0,3
51,0.0,5
52,0.0,5
53,0.0,5
54,0.0,3
55,0.0,5
56,0.0,5
57,0.0,5
58,0.0,5
59,0.0,5
60,0.0,5
61,0.0,5
62,1.0,16
63,0.0,5
64,0.0,5
65,0.0,5
66,0.0,5
67,0.0,3
68,0.0,3
69,0.0,5
70,0.0,5
71,0.0,5
72,1.0,14
73,1.0,17
74,0.0,5
75,0.0,5
76,1.0,16
77,0.0,5
78,0.0,5
79,0.0,5
80,0.0,5
81,0.0,5
82,3.0,34
83,0.0,3
84,1.0,17
85,0.0,3
86,0.0,5
87,0.0,5
88,1.0,16
89,0.0,5
90,0.0,5
91,0.0,5
92,0.0,5
93,0.0,5
94,1.0,16
95,0.0,5
96,0.0,5
97,0.0,5
98,0.0,5
99,1.0,14
100,1.0,12
101,0.0,5
102,1.0,14
103,0.0,3
104,0.0,5
105,0.0,5
106,0.0,5
107,0.0,5
108,0.0,5
109,0.0,5
110,0.0,5
111,0.0,5
112,1.0,14
113,1.0,17
114,0.0,3
115,0.0,3
116,0.0,5
117,0.0,5
118,3.0,39
119,2.0,29
120,0.0,3
121,0.0,5
122,0.0,5
123,0.0,5
124,0.0,5
125,2.0,21
126,0.0,5
127,0.0,3
128,0.0,5
129,0.0,5
130,0.0,5
